"Country of origin","Country of asylum","FDP","Region","Income group","rank"
"Syrian Arab Republic","India",133,"South Asia","Lower middle income",68
"Syrian Arab Republic","Estonia",105,"Europe & Central Asia","High income",69
"Syrian Arab Republic","Trinidad and Tobago",102,"Latin America & Caribbean","High income",70
"Syrian Arab Republic","Paraguay",101,"Latin America & Caribbean","Upper middle income",71
"Syrian Arab Republic","Japan",93,"East Asia & Pacific","High income",72
"Syrian Arab Republic","Kyrgyzstan",81,"Europe & Central Asia","Lower middle income",73
"Syrian Arab Republic","Belarus",76,"Europe & Central Asia","Upper middle income",74
"Syrian Arab Republic","Pakistan",73,"South Asia","Lower middle income",75
"Syrian Arab Republic","New Zealand",72,"East Asia & Pacific","High income",76
"Syrian Arab Republic","Uruguay",71,"Latin America & Caribbean","High income",77
"Syrian Arab Republic","Mexico",69,"Latin America & Caribbean","Upper middle income",78
"Syrian Arab Republic","Chad",67,"Sub-Saharan Africa","Low income",79
"Syrian Arab Republic","Peru",58,"Latin America & Caribbean","Upper middle income",80
"Syrian Arab Republic","South Africa",58,"Sub-Saharan Africa","Upper middle income",81
"Syrian Arab Republic","Kosovo and Serbia",54,"Europe & Central Asia","Upper middle income",82
"Syrian Arab Republic","China",48,"East Asia & Pacific","Upper middle income",83
"Syrian Arab Republic","Cuba",45,"Latin America & Caribbean","Upper middle income",84
"Syrian Arab Republic","Liberia",45,"Sub-Saharan Africa","Low income",85
"Syrian Arab Republic","Benin",44,"Sub-Saharan Africa","Low income",86
"Syrian Arab Republic","Indonesia",44,"East Asia & Pacific","Lower middle income",87
"Syrian Arab Republic","Bahrain",41,"Middle East & North Africa","High income",88
"Syrian Arab Republic","Zambia",41,"Sub-Saharan Africa","Lower middle income",89
"Syrian Arab Republic","Oman",35,"Middle East & North Africa","High income",90
"Syrian Arab Republic","Azerbaijan",33,"Europe & Central Asia","Upper middle income",91
"Syrian Arab Republic","Bosnia and Herzegovina",33,"Europe & Central Asia","Upper middle income",92
"Syrian Arab Republic","Venezuela",33,"Latin America & Caribbean","Upper middle income",93
"Syrian Arab Republic","Liechtenstein",32,"Europe & Central Asia","High income",94
"Syrian Arab Republic","Costa Rica",30,"Latin America & Caribbean","Upper middle income",95
"Syrian Arab Republic","Togo",26,"Sub-Saharan Africa","Low income",96
"Syrian Arab Republic","Uganda",26,"Sub-Saharan Africa","Low income",97
"Syrian Arab Republic","Kazakhstan",25,"Europe & Central Asia","Upper middle income",98
"Syrian Arab Republic","Slovakia",25,"Europe & Central Asia","High income",99
"Syrian Arab Republic","Dem. Rep. of the Congo",24,"Sub-Saharan Africa","Low income",100
"Syrian Arab Republic","United Rep. of Tanzania",24,"Sub-Saharan Africa","Low income",101
"Syrian Arab Republic","Bolivia",22,"Latin America & Caribbean","Lower middle income",102
"Syrian Arab Republic","Albania",21,"Europe & Central Asia","Upper middle income",103
"Syrian Arab Republic","Djibouti",19,"Middle East & North Africa","Lower middle income",104
"Syrian Arab Republic","Congo",18,"Sub-Saharan Africa","Lower middle income",105
"Syrian Arab Republic","Colombia",18,"Latin America & Caribbean","Upper middle income",106
"Syrian Arab Republic","North Macedonia",17,"Europe & Central Asia","Upper middle income",107
"Syrian Arab Republic","Cameroon",15,"Sub-Saharan Africa","Lower middle income",108
"Syrian Arab Republic","Guinea",14,"Sub-Saharan Africa","Low income",109
"Syrian Arab Republic","Senegal",14,"Sub-Saharan Africa","Lower middle income",110
"Syrian Arab Republic","Kenya",10,"Sub-Saharan Africa","Lower middle income",111
"Syrian Arab Republic","Angola",5,"Sub-Saharan Africa","Lower middle income",112
"Syrian Arab Republic","Burkina Faso",5,"Sub-Saharan Africa","Low income",113
"Syrian Arab Republic","Monaco",5,"Europe & Central Asia","High income",114
"Syrian Arab Republic","Madagascar",5,"Sub-Saharan Africa","Low income",115
"Syrian Arab Republic","Niger",5,"Sub-Saharan Africa","Low income",116
"Syrian Arab Republic","Nauru",5,"East Asia & Pacific","Upper middle income",117
"Syrian Arab Republic","El Salvador",5,"Latin America & Caribbean","Lower middle income",118
"Syrian Arab Republic","Syrian Arab Republic",0,"Middle East & North Africa","Low income",119
